priority,graph_name,chart_type,source_file,status,detected_columns_or_asset,reason,suggested_output_filename
1,Accuracy by round/epoch,line,streamlit-ui/streamlit-ui/data/experiment_results.csv,Ready from structured data,"distribution, method, selected_round, accuracy","Shows convergence and whether FedAvg, FedPer or FedRep stabilize differently across training rounds.",experiment_results_accuracy_convergence.png
1,Accuracy by round/epoch,line,streamlit-ui/streamlit-ui/data/round_metrics.csv,Ready from structured data,"distribution, method, round, accuracy","Shows convergence and whether FedAvg, FedPer or FedRep stabilize differently across training rounds.",round_metrics_accuracy_convergence.png
1,Accuracy comparison across experiments,grouped horizontal bar,experiments/results/tables/rice_architecture_evaluation.csv,Ready from structured data,"model, accuracy","Provides the clearest final comparison of centralized, distributed and federated approaches.",rice_architecture_evaluation_accuracy_comparison.png
1,Accuracy comparison across experiments,grouped horizontal bar,results/Reports/FinalReportArchive/tables/rice_architecture_evaluation.csv,Ready from structured data,"model, accuracy","Provides the clearest final comparison of centralized, distributed and federated approaches.",rice_architecture_evaluation_accuracy_comparison.png
1,Accuracy comparison across experiments,grouped horizontal bar,results/Rice/Federated/Summaries/Presentation_tables/table_1_alpha0p5_comprehensive.csv,Ready from structured data,"Approach, Backbone, Accuracy","Provides the clearest final comparison of centralized, distributed and federated approaches.",table_1_alpha0p5_comprehensive_accuracy_comparison.png
1,Accuracy comparison across experiments,grouped horizontal bar,streamlit-ui/streamlit-ui/data/experiment_results.csv,Ready from structured data,"architecture, dataset, distribution, method, accuracy","Provides the clearest final comparison of centralized, distributed and federated approaches.",experiment_results_accuracy_comparison.png
1,Accuracy comparison across experiments,grouped horizontal bar,streamlit-ui/streamlit-ui/data/round_metrics.csv,Ready from structured data,"architecture, dataset, distribution, method, accuracy","Provides the clearest final comparison of centralized, distributed and federated approaches.",round_metrics_accuracy_comparison.png
1,Class distribution across federated clients,100% stacked bar or heatmap,streamlit-ui/streamlit-ui/data/client_statistics.csv,Ready from structured data,"alpha, class_entropy, client, images",This is the strongest visual demonstration of IID versus non-IID client heterogeneity.,client_statistics_client_class_distribution.png
1,Dataset category distribution,horizontal bar,experiments/results/provenance/wheat_grouped_split_v2/class_allocation.csv,Ready from structured data,"label, total_images, validation_images","Shows the actual number and percentage of healthy, disease or defect categories in the rice and wheat datasets.",class_allocation_category_distribution.png
1,Dataset category distribution,horizontal bar,experiments/results/rice/rice_ddp_resnet18/evaluation/evaluation_metrics.json,Ready from structured data,"class_names, results.test.num_images, results.test.per_class, results.test.per_class.support, results.validation.num_images, results.validation.per_class, results.validation.per_class.support","Shows the actual number and percentage of healthy, disease or defect categories in the rice and wheat datasets.",evaluation_metrics_category_distribution.png
1,Dataset category distribution,horizontal bar,experiments/results/rice/rice_ddp_resnet18/evaluation/test_per_class_metrics.csv,Ready from structured data,"class_name, support","Shows the actual number and percentage of healthy, disease or defect categories in the rice and wheat datasets.",test_per_class_metrics_category_distribution.png
1,Dataset category distribution,horizontal bar,experiments/results/rice/rice_ddp_resnet18/evaluation/validation_per_class_metrics.csv,Ready from structured data,"class_name, support","Shows the actual number and percentage of healthy, disease or defect categories in the rice and wheat datasets.",validation_per_class_metrics_category_distribution.png
1,Dataset category distribution,horizontal bar,experiments/results/rice/rice_efficientnetb0_grouped_v1/test_per_class_metrics.csv,Ready from structured data,"class_name, support","Shows the actual number and percentage of healthy, disease or defect categories in the rice and wheat datasets.",test_per_class_metrics_category_distribution.png
1,Dataset category distribution,horizontal bar,experiments/results/rice/rice_efficientnetb0_grouped_v1/validation_per_class_metrics.csv,Ready from structured data,"class_name, support","Shows the actual number and percentage of healthy, disease or defect categories in the rice and wheat datasets.",validation_per_class_metrics_category_distribution.png
1,Dataset category distribution,horizontal bar,experiments/results/rice/rice_fedavg_iid_mobilenetv2/evaluation/test_per_class_metrics.csv,Ready from structured data,"class_name, support","Shows the actual number and percentage of healthy, disease or defect categories in the rice and wheat datasets.",test_per_class_metrics_category_distribution.png
1,Dataset category distribution,horizontal bar,experiments/results/rice/rice_fedavg_iid_mobilenetv2/evaluation/validation_per_class_metrics.csv,Ready from structured data,"class_name, support","Shows the actual number and percentage of healthy, disease or defect categories in the rice and wheat datasets.",validation_per_class_metrics_category_distribution.png
1,Dataset category distribution,horizontal bar,experiments/results/rice/rice_fedavg_iid_resnet18/evaluation/evaluation_metrics.json,Ready from structured data,"class_names, results.test.num_images, results.test.per_class, results.test.per_class.support, results.validation.num_images, results.validation.per_class, results.validation.per_class.support","Shows the actual number and percentage of healthy, disease or defect categories in the rice and wheat datasets.",evaluation_metrics_category_distribution.png
1,Dataset category distribution,horizontal bar,experiments/results/rice/rice_fedavg_iid_resnet18/evaluation/test_per_class_metrics.csv,Ready from structured data,"class_name, support","Shows the actual number and percentage of healthy, disease or defect categories in the rice and wheat datasets.",test_per_class_metrics_category_distribution.png
1,Dataset category distribution,horizontal bar,experiments/results/rice/rice_fedavg_iid_resnet18/evaluation/validation_per_class_metrics.csv,Ready from structured data,"class_name, support","Shows the actual number and percentage of healthy, disease or defect categories in the rice and wheat datasets.",validation_per_class_metrics_category_distribution.png
1,Dataset category distribution,horizontal bar,experiments/results/rice/rice_fedavg_noniid_mobilenetv2/evaluation/test_per_class_metrics.csv,Ready from structured data,"class_name, support","Shows the actual number and percentage of healthy, disease or defect categories in the rice and wheat datasets.",test_per_class_metrics_category_distribution.png
1,Dataset category distribution,horizontal bar,experiments/results/rice/rice_fedavg_noniid_mobilenetv2/evaluation/validation_per_class_metrics.csv,Ready from structured data,"class_name, support","Shows the actual number and percentage of healthy, disease or defect categories in the rice and wheat datasets.",validation_per_class_metrics_category_distribution.png
